epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.3750165059552555,0.477046783625731,1.1624755485113276,0.5412032355915065,0.001
2,1.0966512700270492,0.5758406432748538,1.0807562054589737,0.5833228008088979,0.001
3,0.9680928406659622,0.6366228070175438,0.9005813390709633,0.6712904448938322,0.001
4,0.8992104735987926,0.6573830409356725,0.9291046351887459,0.6624115267947421,0.001
5,0.8502655700284835,0.6802266081871344,0.9313753538353499,0.6270854398382204,0.001
6,0.8056075508482972,0.6970394736842105,0.8080195680607197,0.7045310920121335,0.001
7,0.784158588501445,0.7090277777777778,0.7838257565054783,0.7123988877654196,0.001
8,0.757027186496913,0.7229897660818713,0.7981413914713749,0.6978640040444893,0.001
9,0.739754379144189,0.7263523391812865,0.7523826859718146,0.7389724469160769,0.001
10,0.7198917227878905,0.7380116959064328,0.7889594990153646,0.7065849342770475,0.001
11,0.7024614291581494,0.7445540935672514,0.7684386136919953,0.7320209807886754,0.001
12,0.6995965953458819,0.7479166666666667,0.7210100695144298,0.7437752780586451,0.001
13,0.6822705017892938,0.7515350877192982,0.8199574988941813,0.6933771486349848,0.001
14,0.6763768711982415,0.7497441520467837,0.6821144736090372,0.7490204752275026,0.001
15,0.6683822092954178,0.7585160818713451,0.7244864064593648,0.7304411021233569,0.001
16,0.6575647955052337,0.7651681286549707,0.8392905482026034,0.6962841253791708,0.001
17,0.6512986156675551,0.7633406432748538,0.9216665486956752,0.6748925682507584,0.001
18,0.6211199228875122,0.7691885964912281,0.7131424165049265,0.743933265925177,0.001
19,0.6216563240826478,0.7784722222222222,0.59683494235194,0.7856420626895854,0.001
20,0.6337322964828614,0.7674707602339182,0.7358164752638617,0.713536400404449,0.001
21,0.6091558351154216,0.7828216374269007,0.6808288624120313,0.7474089989888777,0.001
22,0.6019224104476951,0.7802997076023392,0.7838216923003973,0.7129676440849343,0.001
23,0.6005120348860646,0.7845760233918129,0.6079957998076151,0.7836198179979779,0.001
24,0.5850967114780381,0.7887792397660819,0.7463716164577839,0.7203930738119312,0.001
25,0.5800388798727627,0.7913377192982456,0.6547402593978616,0.762986602628918,0.001
26,0.5814227081878841,0.7923611111111112,0.611159277516742,0.7777742669362993,0.001
27,0.5745860771303288,0.7926535087719297,0.6496265232563019,0.7604903943377149,0.001
28,0.5750902027588839,0.7945906432748538,0.8272766727347707,0.7226996966632963,0.001
29,0.5651813436147065,0.7935307017543859,0.7371497244335884,0.741626643073812,0.001
30,0.5526862057328922,0.8003654970760234,0.5944579049598339,0.7906028816986855,0.001
31,0.5612851813522696,0.7989766081871345,0.58965453262939,0.7929095045500505,0.001
32,0.5406735023559882,0.8095029239766083,0.639161445027174,0.7519274519716886,0.001
33,0.5416678964917423,0.804861111111111,0.5961195438407189,0.7870955510616784,0.001
34,0.5433995037922386,0.800328947368421,0.6882010878518571,0.7608063700707786,0.001
35,0.5421034291125181,0.8000730994152047,0.6734784391037253,0.7577098078867543,0.001
36,0.538747773532979,0.8049342105263159,0.6427662483481473,0.7734453993933267,0.001
37,0.5399992847651766,0.8007309941520468,0.6874624719453413,0.7359706774519716,0.001
38,0.5388146750411095,0.8054093567251461,0.6173066240410472,0.780997219413549,0.001
39,0.5358563424550999,0.8123538011695907,0.6642844420532847,0.7657355915065723,0.001
40,0.5240760588506509,0.8130482456140351,0.5695413091154986,0.7959744691607685,0.001
41,0.5207234062472282,0.8094298245614034,0.6456421994885733,0.7559719413549039,0.001
42,0.5203981491905904,0.8122076023391812,0.5469514665215515,0.8066860465116279,0.001
43,0.5163089397706484,0.8180555555555555,0.6591569968434268,0.7686425682507584,0.001
44,0.5175560257936779,0.8160818713450293,0.8501845639805461,0.689711830131446,0.001
45,0.5050361749024419,0.8165935672514619,0.5658309989890387,0.7926251263902933,0.001
46,0.5125093616937336,0.8207236842105263,0.6232185433077257,0.7687689585439839,0.001
47,0.514482194394396,0.8183845029239766,0.8506393356378689,0.7090811425682507,0.001
48,0.5245747333555891,0.8149853801169591,0.6006639447323111,0.7831458543983822,0.001
49,0.5124251818099217,0.8158625730994151,0.5765297392079997,0.7964168351870576,0.001
50,0.5048467648482462,0.8168128654970761,0.5774217753909355,0.7959744691607685,0.001
51,0.5064000165776202,0.8164473684210527,0.528970027385756,0.8231483822042467,0.001
52,0.5112926758695067,0.820687134502924,0.5661380925150805,0.7898445399393327,0.001
53,0.5077352572602836,0.8186038011695905,0.5314488695111386,0.8138270980788676,0.001
54,0.4942201424760428,0.8216374269005848,0.6490609528020371,0.7776478766430738,0.001
55,0.4917890562822944,0.8232456140350878,0.5108756007150163,0.8276352376137512,0.001
56,0.5043439075612185,0.8169590643274853,0.5559879929520363,0.7964168351870576,0.001
57,0.4799961654240625,0.8254751461988304,0.5867520896501319,0.8035262891809909,0.001
58,0.4953418742669256,0.8224049707602339,0.49053492414396865,0.8386943882709808,0.001
59,0.48127487624249266,0.8246345029239766,0.5006712013205816,0.8197990394337714,0.001
60,0.48138512008719975,0.8245614035087719,0.5973590570826863,0.7963852376137512,0.001
61,0.49070060993844306,0.8198830409356724,0.5037304554567781,0.8251706268958544,0.001
62,0.4794136938470149,0.8293494152046783,0.5162490595911824,0.8225480283114257,0.001
63,0.48481417556255185,0.8259137426900585,0.6088416576385498,0.7849153185035389,0.001
64,0.48829605243010826,0.8259137426900585,0.45639439897481787,0.841443377148635,0.001
65,0.4596510885054605,0.8344663742690058,0.5190963651551757,0.816007330637007,0.001
66,0.4724724677483938,0.8319078947368421,0.6450049225674119,0.764692871587462,0.001
67,0.4747828493951357,0.8330043859649122,0.6560448924469393,0.7623862487360971,0.001
68,0.47324622949661566,0.8331871345029239,0.6943641994581666,0.7475985844287159,0.001
69,0.4704503373444429,0.83125,0.5346220385196597,0.8141430738119313,0.001
70,0.4765759872937063,0.828764619883041,0.5169763409121092,0.8170500505561173,0.001
71,0.4677559043231763,0.8323464912280703,0.5645810407261516,0.8168604651162791,0.001
72,0.47054319074976514,0.8322733918128654,0.5195949649394944,0.8269400910010111,0.001
73,0.45813475889072086,0.8379751461988303,0.5983500678178876,0.7856420626895854,0.001
74,0.46003259395995333,0.8357456140350877,0.5300877295261206,0.8062752780586452,0.001
75,0.45504799781487004,0.8345760233918129,0.4769299466942632,0.8338915571284126,0.001
76,0.4639992386276959,0.8360380116959064,0.5514433182949243,0.8080131445904954,0.001
77,0.46383196246205716,0.8317982456140351,0.4845796844293905,0.8247598584428716,0.001
78,0.45514041507801817,0.8370248538011695,0.5584906076276025,0.8088978766430738,0.001
79,0.45204012583919434,0.8392909356725147,0.5527051212482674,0.7962588473205258,0.001
80,0.45566848582691616,0.8424707602339181,0.530732263659322,0.8216948938321537,0.001
81,0.43692193271821006,0.8485380116959064,0.5424639558376267,0.8067176440849342,0.001
82,0.45692756841754356,0.8398391812865498,0.494833187654961,0.8306686046511628,0.001
83,0.44157460915763475,0.8470029239766083,0.5698521268922229,0.8006193124368048,0.001
84,0.4398506053707056,0.839985380116959,0.5976111580466115,0.7866531850353894,0.001
85,0.44316566051446904,0.8455409356725146,0.5509938251140506,0.808739888776542,0.001
86,0.4595215818163944,0.8380482456140351,0.5342308234336764,0.8106357431749243,0.001
87,0.4455303758905645,0.8384137426900585,0.6363788565924001,0.7724026794742164,0.001
88,0.4580168286610765,0.8331871345029239,0.5569809210854907,0.8068440343781597,0.001
89,0.4325510425525799,0.8452485380116959,0.541372537612915,0.8052641557128412,0.001
90,0.43631848135189705,0.8448830409356725,0.5159155203159466,0.824285894843276,0.001
91,0.4426576410207832,0.84031432748538,0.5580535371636235,0.7927515166835187,0.001
92,0.42529975949672233,0.8500730994152047,0.4821866667547891,0.8331648129423661,0.001
93,0.4360097631899237,0.8425438596491227,0.5727945514196573,0.7950581395348837,0.001
94,0.4158592476830845,0.8546783625730995,0.7237089262452236,0.7693693124368048,0.001
95,0.4412077870982432,0.8442982456140351,0.46338144256625063,0.8397055106167847,0.001
96,0.42630477633044034,0.8507309941520468,0.5157238089067991,0.8078551567239637,0.001
97,0.433021755377103,0.8390716374269005,0.47408501734567243,0.8401478766430738,0.001
98,0.4238492624278654,0.8496345029239766,0.5637063609306202,0.8016304347826086,0.001
99,0.43189362876596504,0.8529970760233919,0.47488097257392353,0.8431812436804853,0.001
100,0.4208134194040856,0.8501096491228071,0.5790707576413487,0.8026415571284126,0.001
